station_id,obsTime,ELEV,WDIR,WDSD,TEMP,HUMD,PRES,SUN,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT
C0X110,2019/8/6 00:00,20,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999,,-999,
C0V310,2019/8/6 00:00,46,278,0.8,25.3,1,996.6,-99,56.5,-99,-99,-99,33.5,,25.1,
C0G620,2019/8/6 00:00,110,176,0.9,27.4,0.89,990.3,-99,0,-99,-99,-99,34.5,,25.8,
C0AD50,2019/8/6 00:00,84,86,5.7,28.9,0.86,993.7,-99,0,-99,-99,-99,33.4,,27.6,
C0A9A0,2019/8/6 00:00,24,99,2.9,29.3,0.83,1000.6,-99,0.5,-99,-99,-99,32.9,,28.2,
C0O830,2019/8/6 00:00,127,265,0.8,25.1,0.99,989.1,-99,73.5,-99,-99,-99,33.3,,24.6,
C0S760,2019/8/6 00:00,1621,0,0.2,18.6,1,834.5,-99,2,-99,-99,-99,21.7,,17,
C0X160,2019/8/6 00:00,26,100,0.7,26.9,0.92,1000.1,-99,2.5,-99,-99,-99,32.9,,26.5,
C0C490,2019/8/6 00:00,157,75,1.2,28.8,0.76,984.8,-99,0.5,-99,-99,-99,36.1,,27.5,
C0F970,2019/8/6 00:00,145,151,0.4,28.4,0.8,985.1,-99,0,-99,-99,-99,32.8,,26.2,
C0M690,2019/8/6 00:00,33,190,1,26.8,0.92,997.9,-99,9.5,-99,-99,-99,32.9,,24.7,
C0V690,2019/8/6 00:00,30,31,1.6,27.5,0.87,1000,-99,1.5,-99,-99,-99,31.1,,27.1,
C0Z210,2019/8/6 00:00,126,0,0,25.6,0.99,991.4,-99,11,-99,-99,-99,31.8,,25,
C0U770,2019/8/6 00:00,5,339,2.8,26,0.91,1003.4,-99,12.5,-99,-99,-99,31.3,,25.4,
C0Z080,2019/8/6 00:00,298,351,0.8,24.8,0.97,971.3,-99,38,-99,-99,-99,33.8,,23.9,
C0Z020,2019/8/6 00:00,211,39,3.4,25,0.99,980,-99,35,-99,-99,-99,31.1,,24.6,
C0Z190,2019/8/6 00:00,62,314,1.5,27.1,0.99,996.7,-99,0,-99,-99,-99,31.2,,27.1,
C0C710,2019/8/6 00:00,143,133,2,27.1,0.79,986.3,-99,0,-99,-99,-99,33.8,,24.8,
C0D360,2019/8/6 00:00,523,0,0,24.3,0.91,944.2,-99,0,-99,-99,-99,32.1,,22.7,
C0C680,2019/8/6 00:00,228,115,3.4,27,0.85,976,-99,0,-99,-99,-99,32,,26.5,
C0X140,2019/8/6 00:00,17,175,0.6,28.3,0.87,1000.2,-99,0,-99,-99,-99,34.3,,27.6,
C0G840,2019/8/6 00:00,32,0,0.2,28,0.87,996.2,-99,0,-99,-99,-99,33.7,,27,
C0S890,2019/8/6 00:00,238,17,1.1,26.2,0.93,980.2,-99,2.5,-99,-99,-99,33.1,,25,
C0T820,2019/8/6 00:00,550,0,0,24.5,0.94,947.4,-99,0,-99,-99,-99,33.4,,22.5,
C0F9I0,2019/8/6 00:00,194,188,2.1,28.1,0.84,980.2,-99,0.5,-99,-99,-99,32,,27.2,
C0C650,2019/8/6 00:00,208,63,2.3,27.2,0.79,979,-99,0,-99,-99,-99,32.8,,25.4,
C0R600,2019/8/6 00:00,766,347,0.6,24.4,0.81,919.7,-99,90.5,-99,-99,-99,26.5,,22.4,
C0Z320,2019/8/6 00:00,646,0,0,22.8,0.99,934.1,-99,4.5,-99,-99,-99,29.8,,20.7,
C0V210,2019/8/6 00:00,734,0,0.2,22.2,0.96,924.6,-99,10,-99,-99,-99,30.2,,20.7,
C0K240,2019/8/6 00:00,1132,117,1.9,21.7,0.99,884.6,-99,0.5,-99,-99,-99,27.2,,20.6,
C0M520,2019/8/6 00:00,15,185,1.1,27.1,0.87,1000.4,-99,0,-99,-99,-99,32.7,,26.2,
C0A530,2019/8/6 00:00,300,56,0.9,24.4,0.99,970.7,-99,2.5,-99,-99,-99,32.1,,24,
C0E820,2019/8/6 00:00,220,213,0.7,26.5,0.93,977.9,-99,7.5,-99,-99,-99,31.8,,25.5,
C0K450,2019/8/6 00:00,35,192,2.5,28.2,0.83,997.6,-99,0,-99,-99,-99,34,,26.8,
C0G760,2019/8/6 00:00,53,219,1,28.1,0.99,998.2,-99,0,-99,-99,-99,33.4,,27.1,
CM0120,2019/8/6 00:00,4,204,4.5,29.2,0.8,1001.5,-99,0,-99,-99,-99,32.2,,27.6,
C0Z290,2019/8/6 00:00,946,39,0.7,21.6,0.99,902.6,-99,22.5,-99,-99,-99,26.2,,20.9,
C0F9U0,2019/8/6 00:00,74,105,1,29.6,0.77,993.5,-99,1,-99,-99,-99,33.7,,28.3,
C0AI10,2019/8/6 00:00,76,211,1.1,27.6,0.86,994.5,-99,6,-99,-99,-99,34.5,,25.7,
C0V530,2019/8/6 00:00,34,99,0.8,26.8,1,998.6,-99,4,-99,-99,-99,33.6,,26.3,
C0R550,2019/8/6 00:00,38,21,1.9,25.7,1,998.9,-99,22,-99,-99,-99,32.9,,25.7,
C0F9L0,2019/8/6 00:00,253,181,1.2,28.4,0.86,973.8,-99,0,-99,-99,-99,32.6,,26.3,
C0A950,2019/8/6 00:00,60,114,3.7,27.7,0.93,997.7,-99,0,-99,-99,-99,29.6,,27.4,
C0R160,2019/8/6 00:00,45,13,1.1,25.1,0.99,997,-99,39.5,-99,-99,-99,33.7,,25.1,
C0F9S0,2019/8/6 00:00,43,170,2.2,29.2,0.76,997.2,-99,0,-99,-99,-99,33.5,,27.6,
C0M820,2019/8/6 00:00,980,0,0,21.1,0.94,898.6,-99,2,-99,-99,-99,26.9,,19.6,
C0G870,2019/8/6 00:00,12,198,2.5,28.4,0.86,1001.1,-99,0,-99,-99,-99,33.5,,27.7,
C0R530,2019/8/6 00:00,16,360,1.9,26.3,0.99,1000.6,-99,8.5,-99,-99,-99,30.7,,25.7,
C0O840,2019/8/6 00:00,134,124,1.5,25.9,1,986.6,-99,31,-99,-99,-99,32.8,,24.6,
C0A890,2019/8/6 00:00,40,0,0,26.6,0.99,998.8,-99,5.5,-99,-99,-99,32.9,,26,
C0A660,2019/8/6 00:00,97,0,0,26.4,0.99,992.6,-99,2,-99,-99,-99,31.2,,25.3,
C0T9H0,2019/8/6 00:00,725,342,1.9,22.6,0.99,925.9,-99,24,-99,-99,-99,28,,21.7,
C0R270,2019/8/6 00:00,51,64,1.4,25.6,1,995.5,-99,18,-99,-99,-99,32.8,,25.5,
C0O980,2019/8/6 00:00,18,154,0.6,26.1,0.99,1001.7,-99,2,-99,-99,-99,35.3,,26,
C0T9I0,2019/8/6 00:00,152,208,0.8,25.3,0.94,988.1,-99,16.5,-99,-99,-99,31.1,,24.1,
C0V760,2019/8/6 00:00,30,105,1.2,26.9,0.91,1000.1,-99,3,-99,-99,-99,33.7,,26.9,
C0R570,2019/8/6 00:00,37,1,1.6,25.8,0.99,997.6,-99,37.5,-99,-99,-99,33.7,,25.4,
C0O900,2019/8/6 00:00,9,163,1.2,26.7,0.99,1001.9,-99,0.5,-99,-99,-99,33.7,,26.4,
C0AD00,2019/8/6 00:00,86,79,1.2,29.2,0.81,994.4,-99,0,-99,-99,-99,32.6,,28.4,
